feature,importance,repeat,fold
numeric__age,-0.048268193294342274,3,2
numeric__chol,0.09463438970502161,3,2
numeric__oldpeak,0.4015173980814091,3,2
numeric__thalach,-0.33520333753947174,3,2
numeric__trestbps,0.088084633835905,3,2
categorical__ca_0.0,-0.7345575161552993,3,3
categorical__ca_1.0,0.22716529480994788,3,3
categorical__ca_2.0,0.3051104459996512,3,3
categorical__ca_3.0,0.21150817126487156,3,3
categorical__cp_1.0,-0.11392114691896084,3,3
categorical__cp_2.0,-0.0979964638559832,3,3
categorical__cp_3.0,-0.32434308279922325,3,3
categorical__cp_4.0,0.5454870894933397,3,3
categorical__exang_0.0,-0.24282473380201375,3,3
categorical__exang_1.0,0.25205112972118493,3,3
categorical__fbs_0.0,0.06593888191373257,3,3
categorical__fbs_1.0,-0.05671248599456112,3,3
categorical__restecg_0.0,-0.22595481747066393,3,3
categorical__restecg_1.0,0.021509767336104636,3,3
categorical__restecg_2.0,0.2136714460537304,3,3
categorical__sex_0.0,-0.37039247811546777,3,3
categorical__sex_1.0,0.3796188740346393,3,3
categorical__slope_1.0,-0.19330804503760343,3,3
categorical__slope_2.0,0.23445608105916838,3,3
categorical__slope_3.0,-0.031921640102393234,3,3
categorical__thal_3.0,-0.5036461607530323,3,3
categorical__thal_6.0,-0.04441805197323623,3,3
categorical__thal_7.0,0.5572906086454397,3,3
numeric__age,0.07044634276866917,3,3
numeric__chol,0.02149190552008339,3,3
numeric__oldpeak,0.4219514282986584,3,3
numeric__thalach,-0.29692243120516393,3,3
numeric__trestbps,0.21833136029635863,3,3
categorical__ca_0.0,-1.5885460761541723,3,4
categorical__ca_1.0,0.4161944184104531,3,4
categorical__ca_2.0,1.0354225259297847,3,4
categorical__ca_3.0,0.19775737715589634,3,4
categorical__cp_1.0,-0.5874248066424397,3,4
categorical__cp_2.0,-0.22268501058215293,3,4
categorical__cp_3.0,-0.4097191789447168,3,4
categorical__cp_4.0,1.280657241511276,3,4
categorical__exang_0.0,-0.5576095369390327,3,4
categorical__exang_1.0,0.6184377822809958,3,4
categorical__fbs_0.0,0.11586764965980005,3,4
categorical__fbs_1.0,-0.05503940431783662,3,4
categorical__restecg_0.0,-0.30589158513883946,3,4
categorical__restecg_1.0,0.10911172433657446,3,4
categorical__restecg_2.0,0.2576081061442309,3,4
categorical__sex_0.0,-0.5586390397965177,3,4
categorical__sex_1.0,0.6194672851384785,3,4
categorical__slope_1.0,-0.48176839608121924,3,4
categorical__slope_2.0,0.40166395846774944,3,4
categorical__slope_3.0,0.14093268295543374,3,4
categorical__thal_3.0,-0.5069113786487486,3,4
categorical__thal_6.0,-0.3322340670147057,3,4
categorical__thal_7.0,0.8999736910054184,3,4
numeric__age,-0.36895494470287765,3,4
numeric__chol,0.2120977892111446,3,4
numeric__oldpeak,0.27553532634399663,3,4
numeric__thalach,-0.5375682650667524,3,4
numeric__trestbps,0.5619591862188764,3,4
categorical__ca_0.0,-1.65745094128543,4,0
categorical__ca_1.0,0.36909937501246404,4,0
categorical__ca_2.0,1.0260138499897382,4,0
categorical__ca_3.0,0.2824037818659945,4,0
categorical__cp_1.0,-0.7083147670979131,4,0
categorical__cp_2.0,0.11462480609823077,4,0
categorical__cp_3.0,-0.5415951160138511,4,0
categorical__cp_4.0,1.1553511425962926,4,0
categorical__exang_0.0,-0.24650410358945862,4,0
categorical__exang_1.0,0.2665701691722201,4,0
categorical__fbs_0.0,-0.019393407387621155,4,0
categorical__fbs_1.0,0.039459472970387405,4,0
categorical__restecg_0.0,-0.16695259655534117,4,0
categorical__restecg_1.0,0.1017086366642066,4,0
categorical__restecg_2.0,0.08531002547389747,4,0
categorical__sex_0.0,-0.690589689576926,4,0
categorical__sex_1.0,0.7106557551596878,4,0
categorical__slope_1.0,-0.557713572156284,4,0
